,State,2017,2018,2019,2020,2021,Total Registered Guns,
8,Alabama,266359,264656,393348,631747,713423,161641,
44,Alaska,44623,44421,43385,58996,68653,15824,
6,Arizona,214791,210833,212560,387296,438322,179738,
22,Arkansas,131171,140120,124838,187051,214197,79841,
1,California,819598,684886,662497,874175,1123955,344622,
18,Colorado,265396,283376,259183,375640,478331,92435,
20,Connecticut,91616,90622,90272,118382,216146,82400,
49,Delaware,27041,25771,25628,42535,52352,4852,
2,Florida,712315,671355,681457,1112903,1305111,343288,
5,Georgia,298994,309936,304060,520724,627128,190050,
47,Hawaii,6422,7185,6611,10855,13107,7859,
35,Idaho,101611,115685,119287,163707,205910,49566,
10,Illinois,363127,649817,1162654,1811581,7481507,146487,
13,Indiana,458357,505427,818119,1114898,1468192,114019,
40,Iowa,85964,102146,100907,149379,209181,28494,
34,Kansas,106829,96002,95196,145261,170476,52634,
21,Kentucky,1281049,1385309,1162091,959173,2730364,81068,
12,Louisiana,183694,171413,160891,250573,294273,116831,
45,Maine,53318,62655,51113,78998,94671,15371,
15,Maryland,79964,77250,77680,163384,206959,103109,
37,Massachusetts,104072,107761,110829,141795,203042,37152,
29,Michigan,258674,249878,256913,576996,748584,65742,
23,Minnesota,381418,337076,388943,557783,719163,79307,
38,Mississippi,139022,139465,134451,211294,233742,35494,
26,Missouri,292935,276871,283779,412163,473180,72996,
42,Montana,68414,44331,65324,99472,119161,22133,
41,Nebraska,39686,40217,37666,57690,68593,22234,
24,Nevada,69218,68815,70828,121081,146628,76888,
31,New Hampshire,72032,67456,63938,101653,116526,64135,
33,New Jersey,54152,49169,48731,97134,181478,57507,
17,New Mexico,80528,79995,81865,111376,148540,97580,
25,New York,199663,189348,189770,277335,351254,76207,
9,North Carolina,287192,286154,292762,491437,603914,152238,
46,North Dakota,36971,35156,34060,49228,60362,13272,
7,Ohio,420214,400351,363942,568469,644917,173405,
28,Oklahoma,184562,187412,203064,270885,305898,71269,
32,Oregon,171948,183438,186719,278692,343606,61383,
4,Pennsylvania,535576,521191,515677,784577,1068542,236377,
36,Rhode Island,12437,12766,12704,27739,30020,37152,
14,South Carolina,221482,156658,187086,309001,370614,105601,
43,South Dakota,54412,51151,48180,66498,79081,21130,
16,Tennessee,428518,387308,362128,573130,723700,99159,
0,Texas,855287,886400,838787,1339362,1496999,588696,
27,Utah,150926,165089,469264,708162,916042,72856,
48,Vermont,20084,22437,19786,31997,38983,5872,
3,Virginia,262497,243148,267664,444697,488208,307822,
19,Washington,292158,319924,316943,421994,550260,91835,
39,West Virginia,122968,136306,116294,153046,163937,35264,
30,Wisconsin,293800,252506,248341,425801,584957,64878,
11,Wyoming,30200,33925,34568,52637,62914,132806,
,,,,,,,,
